Character at x pos 86 and y pos 40, HP : 5, type : 1
Shoot at x pos 86 and y pos 1, HP : 1, type : 3
Character at x pos 86 and y pos 40, HP : 5, type : 1
Shoot at x pos 86 and y pos 1, HP : 1, type : 3
Character at x pos 86 and y pos 40, HP : 5, type : 1
Shoot at x pos 86 and y pos 1, HP : 1, type : 3
Character at x pos 86 and y pos 40, HP : 5, type : 1
Shoot at x pos 86 and y pos 1, HP : 1, type : 3
Character at x pos 86 and y pos 40, HP : 5, type : 1
Shoot at x pos 86 and y pos 1, HP : 1, type : 3
Character at x pos 86 and y pos 40, HP : 5, type : 1
Shoot at x pos 86 and y pos 1, HP : 1, type : 3
Character at x pos 86 and y pos 40, HP : 5, type : 1
enemy at x pos 160 and y pos 11, HP : 1, type : 2
Shoot at x pos 86 and y pos 1, HP : 1, type : 3
Character at x pos 86 and y pos 40, HP : 5, type : 1
enemy at x pos 160 and y pos 11, HP : 1, type : 2
Shoot at x pos 86 and y pos 1, HP : 1, type : 3
Character at x pos 86 and y pos 40, HP : 5, type : 1
enemy at x pos 160 and y pos 16, HP : 1, type : 2
enemy at x pos 153 and y pos 17, HP : 1, type : 2
enemy at x pos 9 and y pos 9, HP : 1, type : 2
enemy at x pos 12 and y pos 11, HP : 1, type : 2
Shoot at x pos 86 and y pos 1, HP : 1, type : 3
Character at x pos 86 and y pos 40, HP : 5, type : 1
enemy at x pos 161 and y pos 17, HP : 1, type : 2
enemy at x pos 152 and y pos 20, HP : 1, type : 2
enemy at x pos 7 and y pos 15, HP : 1, type : 2
enemy at x pos 10 and y pos 17, HP : 1, type : 2
Shoot at x pos 86 and y pos 1, HP : 1, type : 3
Character at x pos 86 and y pos 40, HP : 5, type : 1
enemy at x pos 162 and y pos 20, HP : 1, type : 2
enemy at x pos 152 and y pos 22, HP : 1, type : 2
enemy at x pos 6 and y pos 17, HP : 1, type : 2
enemy at x pos 10 and y pos 18, HP : 1, type : 2
enemy at x pos 155 and y pos 15, HP : 1, type : 2
enemy at x pos 21 and y pos 7, HP : 1, type : 2
Shoot at x pos 86 and y pos 1, HP : 1, type : 3
Character at x pos 86 and y pos 40, HP : 5, type : 1
enemy at x pos 161 and y pos 24, HP : 1, type : 2
enemy at x pos 150 and y pos 23, HP : 1, type : 2
enemy at x pos 7 and y pos 18, HP : 1, type : 2
enemy at x pos 10 and y pos 19, HP : 1, type : 2
enemy at x pos 154 and y pos 17, HP : 1, type : 2
enemy at x pos 20 and y pos 11, HP : 1, type : 2
Shoot at x pos 86 and y pos 1, HP : 1, type : 3
Character at x pos 86 and y pos 40, HP : 5, type : 1
enemy at x pos 160 and y pos 27, HP : 1, type : 2
enemy at x pos 150 and y pos 24, HP : 1, type : 2
